Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Đà Lạt Night Market,"Chợ đêm sôi động, nhiều món ăn đặc trưng vùng cao nguyên",Lâm Đồng,Chợ Ẩm Thực,"https://www.google.com/maps/place/Ch%E1%BB%A3+H%C6%B0ng+Long/@10.654956,106.6172416,15z/data=!4m6!3m5!1s0x317533ca2aae1cc7:0xe22b31b20daa1740!8m2!3d10.6579453!4d106.6081537!16s%2Fg%2F1tgdfgs0?entry=ttu&g_ep=EgoyMDI1MDQwNi4wIKXMDSoJLDEwMjExNjM5SAFQAw%3D%3D",1hfHVlW-heZvvS11zgPafJls0V4o5rKJh
Văn Miếu Quốc Tử Giám,"Di tích lịch sử, nơi tôn vinh truyền thống hiếu học",Hà Nội,Di tích Lịch sử,"https://www.google.com/maps/place/Ch%E1%BB%A3+H%C6%B0ng+Long/@10.654956,106.6172416,15z/data=!4m6!3m5!1s0x317533ca2aae1cc7:0xe22b31b20daa1740!8m2!3d10.6579453!4d106.6081537!16s%2Fg%2F1tgdfgs0?entry=ttu&g_ep=EgoyMDI1MDQwNi4wIKXMDSoJLDEwMjExNjM5SAFQAw%3D%3D",1hfHVlW-heZvvS11zgPafJls0V4o5rKJh
Sun World Bà Nà Hills,Khu du lịch nổi tiếng với Cầu Vàng và cảnh núi non tuyệt đẹp,Đà Nẵng,"Công viên Giải trí, Núi","https://www.google.com/maps/place/Ch%E1%BB%A3+H%C6%B0ng+Long/@10.654956,106.6172416,15z/data=!4m6!3m5!1s0x317533ca2aae1cc7:0xe22b31b20daa1740!8m2!3d10.6579453!4d106.6081537!16s%2Fg%2F1tgdfgs0?entry=ttu&g_ep=EgoyMDI1MDQwNi4wIKXMDSoJLDEwMjExNjM5SAFQAw%3D%3D",1hfHVlW-heZvvS11zgPafJls0V4o5rKJh
Khu du lịch hồ Lắk,"Hồ nước tự nhiên lớn nhất tại Tây Nguyên, nằm giữa núi rừng hùng vĩ",Đắk Lắk,"Hồ, danh lam thắng cảnh",https://maps.app.goo.gl/XBoQDXK8M7d23D1A9,1dFEUYNC6Zg9ZHc4g2ZMQv5rFk2taApAi
Buôn Đôn,Nổi tiếng với nghề nuôi dưỡng và thuần chủng voi,Đắk Lắk,Danh lam thắng cảnh,https://maps.app.goo.gl/jyVpyz1McqRWpb5e7,17YziENhkmzN1UiUBPZcqBIYQv3IFFEZ4
Thung Lũng Tình Yêu,Đây là một trong những thắng cảnh hàng đầu Đà Lạt,Lâm Đồng,Điểm chụp ảnh đẹp,https://maps.app.goo.gl/zUkEh3eD3dWzhGKR6,16pR_1HYEQSZpY-moBNM6lHmfHgPbnzOh
Samten Hills Đà Lạt,Samten Hills Dalat là một tuyệt tác văn hóa Phật giáo,Lâm Đồng,Đền,https://maps.app.goo.gl/V9BRtYLcMW8wSRrC8,1nrMjB_8KTtqP5hCu7NV61rqXXMmq_6cX
Bà Nà Hills,"Khu du lịch với Cầu Vàng nổi tiếng, nhiều trò chơi giải trí và kiến trúc Pháp cổ điển",Đà Nẵng,"Danh lam thắng cảnh, Công trình kiến trúc, Khu vui chơi",https://maps.app.goo.gl/UrwaBoHtfQjeFrZ27,14dF5DjO1YU_4paW6ytuA-K6-xgObQ-uY
Bãi biển Mỹ Khê,Một trong những bãi biển đẹp nhất thế giới với cát trắng mịn và nước biển trong xanh,Đà Nẵng,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/71zcJnk5jW5HkLPH8,1U0mJ1NWGFN37SPIp_NctpQSc0WnHkxsO
Ngũ Hành Sơn,"Quần thể năm ngọn núi đá vôi với nhiều hang động, chùa chiền và điêu khắc đá",Đà Nẵng,"Chùa, Đi bộ đường dài, Núi, Đi xe đạp tham quan",https://maps.app.goo.gl/GcTdELaBf7L6dyf49,1cApgqn5hiagkUZfADI5RAa7W5Lj82TaA
Cầu Rồng,"Cây cầu biểu tượng của Đà Nẵng, có khả năng phun lửa và nước vào cuối tuần",Đà Nẵng,"Tượng đài, Cầu",https://maps.app.goo.gl/61UBgiA6u24s9kmv6,1QxLgywb5x15FWp6XRPc0RjKozGojE-Cv
Asia Park - Sun World Đà Nẵng Wonders,Công viên giải trí với vòng quay Sun Wheel khổng lồ và nhiều trò chơi hấp dẫn,Đà Nẵng,"Công viên, Công trình kiến trúc, Khu vui chơi",https://maps.app.goo.gl/G4TtNkaAiPG9qiC7A,16hoTZdoiED0QoiEu_DrN8hr41syy82o3
Bảo tàng Điêu khắc Chăm,Bảo tàng lưu giữ hơn 300 hiện vật điêu khắc Chăm Pa từ thế kỷ 7-15,Đà Nẵng,"Đi bộ đường dài, Đi xe đạp tham quan, Bảo tàng",https://maps.app.goo.gl/iHaxYAkTJfxaAfMC6,1e89KCQuE1QQXbSIBrvq3GAIK1qvjhrsO
Bán đảo Sơn Trà,"Khu bảo tồn thiên nhiên với nhiều loài động thực vật quý hiếm, đặc biệt là voọc chà vá chân nâu",Đà Nẵng,"Khu phố cổ, Bảo tàng",https://maps.app.goo.gl/9i33VuE9aEBwPewP8,1twb9MENRFnijya8InftJ43KRicAz-6F3
Chùa Linh Ứng,"Chùa với tượng Phật Quan Âm cao nhất Việt Nam (67m), view đẹp nhìn ra biển",Đà Nẵng,"Tượng đài, Biển, Đi xe đạp tham quan",https://maps.app.goo.gl/Px4gsw2ZHWFaSRba8,1b9vVTmZf8pilIhHtzvx3QJrxiYQKeDqQ
Công viên nước Mikazuki,Công viên nước hiện đại với nhiều trò chơi hấp dẫn cho mọi lứa tuổi,Đà Nẵng,"Công trình kiến trúc, Khu vui chơi",https://maps.app.goo.gl/X7g6edtfMzs9XXhH6,182qnHuioPL3F98ysLHIqi7RwSs7tyqS1
Làng nghề đá Non Nước,Làng nghề truyền thống chế tác đá mỹ nghệ nổi tiếng tại chân núi Ngũ Hành Sơn,Đà Nẵng,"Địa điểm nổi tiếng, Chợ truyền thống",https://maps.app.goo.gl/ibZ7ow3hYJqpxJqq6,1HUORo6A2vlcOpEhG6a_ezhVUQubP6cEh
Hồ Hoàn Kiếm,"Hồ Hoàn Kiếm, còn gọi là hồ Gươm, là một trong những biểu tượng nổi bật của thủ đô Hà Nội. Nằm giữa trung tâm thành phố, hồ mang vẻ đẹp thanh bình với làn nước xanh biếc, được bao quanh bởi những hàng cây cổ thụ và kiến trúc cổ kính. Đây không chỉ là nơi thư giãn, đi bộ của người dân và du khách, mà còn gắn liền với truyền thuyết vua Lê Lợi trả gươm thần cho Rùa Vàng – một câu chuyện thiêng liêng trong lịch sử dân tộc. Trên hồ có Tháp Rùa – biểu tượng của sự yên bình và lịch sử, cùng với Đền Ngọc Sơn nằm trên đảo Ngọc, được nối bởi cầu Thê Húc sơn đỏ cong cong nổi bật. Xung quanh hồ là phố đi bộ nhộn nhịp vào cuối tuần, nơi tổ chức nhiều hoạt động văn hóa, nghệ thuật đặc sắc.",Hà Nội,"Hồ, Danh lam thắng cảnh, Công viên, Điểm ngắm cảnh tự nhiên, Phố đi bộ, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/H%E1%BB%93+Ho%C3%A0n+Ki%E1%BA%BFm/@21.0287797,105.8497898,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab953357c995:0x1babf6bb4f9a20e!8m2!3d21.0286669!4d105.8521484!16zL20vMGdwNjV3?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1C0c5oM4OWC1s4tuYfJLABCz7Y8nQpHyd
Đền Ngọc Sơn,"Đền Ngọc Sơn là một di tích văn hóa – lịch sử nổi tiếng nằm trên đảo Ngọc trong hồ Hoàn Kiếm, Hà Nội. Được xây dựng vào thế kỷ 19, đền là nơi thờ các danh nhân văn hóa như Trần Hưng Đạo – vị tướng tài ba trong lịch sử Việt Nam, cùng Văn Xương Đế Quân – vị thần chủ văn chương. Đền Ngọc Sơn có kiến trúc hài hòa giữa yếu tố truyền thống và thiên nhiên, nổi bật với cầu Thê Húc sơn đỏ, Tháp Bút và Đài Nghiên. Đây không chỉ là nơi linh thiêng cho người dân đến dâng hương, cầu may, mà còn là điểm đến không thể bỏ qua đối với khách du lịch trong và ngoài nước khi ghé thăm Hà Nội.",Hà Nội,"Di tích lịch sử, Đền, Công trình kiến trúc, Địa điểm nổi tiếng, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/%C4%90%E1%BB%81n+Ng%E1%BB%8Dc+S%C6%A1n/@21.0311672,105.8488602,16.75z/data=!4m6!3m5!1s0x3135abc000809ea7:0xbb2716ec0282371d!8m2!3d21.0306883!4d105.8523861!16s%2Fm%2F0gtxhmt?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1ARCWW7cULvE5xWsUgpgBfRjnIry5hLeB
Phố Cổ Hà Nội,"Phố Cổ Hà Nội là một trong những khu phố lâu đời và đặc sắc nhất tại thủ đô, nằm ở quận Hoàn Kiếm. Khu vực này nổi bật với khoảng 36 phố phường, mỗi phố gắn liền với một nghề thủ công truyền thống như Hàng Mã, Hàng Đào, Hàng Bạc... Với lối kiến trúc cổ kính kiểu Pháp xen lẫn nhà ống truyền thống, cùng các ngõ nhỏ, phố hẹp đông đúc, Phố Cổ Hà Nội là nơi lưu giữ hơi thở của Hà Nội xưa. Đây là điểm đến lý tưởng để du khách khám phá văn hóa, ẩm thực đường phố đặc sắc, mua sắm thủ công mỹ nghệ và trải nghiệm cuộc sống thường nhật của người dân bản địa.",Hà Nội,"Danh lam thắng cảnh, Di tích lịch sử, Khu phố cổ, Phố đi bộ, Điểm chụp ảnh đẹp, Mua sắm, Ẩm thực, Chợ truyền thống, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/Khu+Ph%E1%BB%91+C%E1%BB%95+H%C3%A0+N%E1%BB%99i/@21.0343136,105.8491333,17.75z/data=!4m15!1m8!3m7!1s0x3135abbf21b895f7:0x641bc6c48732c7a4!2zUGjhu5EgY-G7lSBIw6AgTuG7mWksIEhvw6BuIEtp4bq_bSwgSMOgIE7hu5lpLCBWaeG7h3QgTmFt!3b1!8m2!3d21.0352664!4d105.8500124!16s%2Fg%2F11stdqkgnr!3m5!1s0x3135abbe12384aa7:0x595317f27fe2548e!8m2!3d21.034059!4d105.8506368!16s%2Fg%2F11b8tc18h5?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1A8PoU3AQtIFXqQEfZRFs8E9TdESf4Epm
Văn Miếu - Quốc Tử Giám,"Văn Miếu – Quốc Tử Giám là quần thể di tích lịch sử và văn hóa tiêu biểu tại Hà Nội, được xây dựng từ năm 1070 dưới thời vua Lý Thánh Tông. Đây là nơi thờ Khổng Tử và các bậc hiền triết, đồng thời là trường đại học đầu tiên của Việt Nam – Quốc Tử Giám. Với kiến trúc cổ kính, những bia tiến sĩ khắc tên các nho sĩ đỗ đạt và không gian yên bình giữa lòng thủ đô, Văn Miếu là điểm đến lý tưởng cho du khách muốn tìm hiểu về truyền thống hiếu học và văn hóa giáo dục Việt Nam.",Hà Nội,"Di tích lịch sử, Danh lam thắng cảnh, Công trình kiến trúc, Địa điểm văn hóa, Đền, Bảo tàng, Địa điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/V%C4%83n+Mi%C3%AA%CC%81u+%E2%80%93+Qu%C3%B4%CC%81c+T%C6%B0%CC%89+Gia%CC%81m/@21.0281225,105.8330943,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab9926e7bd67:0x580e078874d5df1e!8m2!3d21.0281175!4d105.8356692!16zL20vMGI5aGp6?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1iQUcm03Mt1Yb2NGWRVwzWtus0g1B1BQv
Lăng Chủ tịch Hồ Chí Minh,"Lăng Chủ tịch Hồ Chí Minh là nơi an nghỉ của Chủ tịch Hồ Chí Minh – vị lãnh tụ vĩ đại của dân tộc Việt Nam. Tọa lạc tại Quảng trường Ba Đình, Hà Nội, lăng được xây dựng từ năm 1973 và hoàn thành năm 1975. Công trình mang kiến trúc trang nghiêm, kết hợp giữa phong cách Việt Nam truyền thống và hiện đại. Bên trong là thi hài của Bác Hồ được gìn giữ trang trọng. Đây không chỉ là điểm đến lịch sử linh thiêng, mà còn là nơi để người dân và du khách trong và ngoài nước bày tỏ lòng kính trọng đối với Người.",Hà Nội,"Di tích lịch sử, Địa điểm nổi tiếng, Công trình kiến trúc, Đài tưởng niệm, Địa điểm tham quan miễn phí","https://www.google.com/maps/place/L%C4%83ng+Ch%E1%BB%A7+t%E1%BB%8Bch+H%E1%BB%93+Ch%C3%AD+Minh/@21.0369023,105.8320918,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba15ec15d17:0x620e85c2cfe14d4c!8m2!3d21.0368973!4d105.8346667!16s%2Fm%2F02xbhg7?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",1WIm38PbzPe_lZTCUHrNJ4YcxcvY96Ge8
Thảo Cầm Viên,"Thảo Cầm Viên không những là nơi bảo tồn 1000 cá thể động vật mà còn sở hữu hơn 2000 cây hoa, cây cảnh độc đáo. Tại đó chúng ta sẽ được tham gia vào nhiều trò chơi lý thú như: câu cá, xe lửa, ngựa quay…",Hồ Chí Minh,"Công viên, Địa điểm tham quan",https://maps.app.goo.gl/WsHj2HXtpLw7qorj7,1HhenlQG_HzkD_TN0AAZMA2CYB6mZ3YXB
Dinh Gia Long,"Nhắc đến dinh thự lịch sử ở Thành phố Hồ Chí Minh, nhiều người sẽ chỉ biết đến Dinh Độc Lập, còn Dinh Gia Long thì chưa nghe đến bao giờ. Thực chất Dinh Gia Long hiện nay đã trở thành Bảo tàng Thành phố Hồ Chí Minh, nơi lưu giữ rất nhiều hiện vật quan trọng phản ánh lại một giai đoạn lịch sử đầy biến động của Sài Gòn.",Hồ Chí Minh,"Di tích lịch sử, Bảo tàng",https://maps.app.goo.gl/6JtvgKu8bcLvWsXz7,1ZBw9vlo4MejgHFTaognHY_U6zW8MpCoO
Dinh Độc Lập,Dinh Độc Lập (hay dinh Thống Nhất) là nơi Toàn quyền Đông Dương và tổng thống Ngô Đình Diệm làm việc trước sự kiện 30/4/1975 lịch sử. Công trình kiến trúc ấn tượng này ghi dấu ấn đậm nét trong giai đoạn những năm 1960.,Hồ Chí Minh,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/BH1KVt2zLNKWSMkw8,1QR8bt8jxYcU16RifWeEjAbbrjoqPt7kO
Chợ Bến Thành,"Chợ Bến Thành hình thành giữa thế kỷ 19. Trải qua thăng trầm của lịch sử, khu chợ này từ lâu đã trở thành biểu tượng cho văn hóa mua bán sôi động của Sài Gòn nói riêng và Việt Nam nói chung. Cùng với sự phát triển kinh tế, du lịch của Thành phố Hồ Chí Minh, khu chợ này cũng ngày càng nổi tiếng và đặc biệt thu hút đông đảo khách du lịch nước ngoài ghé đến tham quan.",Hồ Chí Minh,"Chợ truyền thống, Mua sắm",https://maps.app.goo.gl/ZY2PXTcaWaBmkfuRA,1AgRJA0gmJ7fUeVBIp7ocM9MvqsZxfuKP
